score,timestamp,url,username,env_id
0.0,2017-08-04 04:38:24.906105,https://gym.openai.com/evaluations/eval_iIejGxEQKaTMBb8OeBS4Q,PiotrKaszuba,CartPole-v0
0.0,2017-07-28 00:13:54.213842,https://gym.openai.com/evaluations/eval_0WASvhlvSuCN8iZkVzUvg,ja3067,CartPole-v0
8.0,2017-07-30 22:26:32.846574,https://gym.openai.com/evaluations/eval_iyQVt3aT9yqyIgw2RBFug,jeff-collins,CartPole-v0
21.0,2017-08-02 08:04:16.030458,https://gym.openai.com/evaluations/eval_H3YICgS4a4X86xplDh5A,lightaime,CartPole-v0
69.0,2017-08-02 04:05:16.606159,https://gym.openai.com/evaluations/eval_HIz0KjtWSvW06yKKPiaF5A,Baichenjia,CartPole-v0
0.0,2017-03-05 19:00:19.817195,https://gym.openai.com/evaluations/eval_55ksvxr8RXmS2rMlNah8Q,rahulsengupta,CarRacing-v0
4452.95 ± 176.55,2017-06-08 19:42:46.511798,https://gym.openai.com/evaluations/eval_lsGMhz0OQ0GjKy9wuTGnA,dgriff777,Centipede-v0
2908.89 ± 136.82,2016-08-25 22:44:09.411168,https://gym.openai.com/evaluations/eval_mc1Kp5e6R42rFdjeMLzkIg,ppwwyyxx,Centipede-v0
2565.31 ± 210.99,2016-04-24 22:38:23.699733,https://gym.openai.com/evaluations/eval_k0tbRKO2TWalCMvTx61gxw,gdb,Centipede-v0
N/A,2016-05-01 07:45:02.931011,https://gym.openai.com/evaluations/eval_rgRuW66QMeuUKWsIbq3Q,gdisneyleugers,Centipede-v0
43431.29 ± 1132.00,2017-06-21 19:47:34.530573,https://gym.openai.com/evaluations/eval_8R6C5PogSDG3mBpmNeHUw,steveKapturowski,YarsRevenge-v0
39116.19 ± 1251.00,2017-06-21 04:30:22.796031,https://gym.openai.com/evaluations/eval_33VZIoFqQtWf6N7R1zE8IQ,steveKapturowski,YarsRevenge-v0
27876.08 ± 1043.24,2017-06-20 17:34:04.582966,https://gym.openai.com/evaluations/eval_dVHUtFEORxCtiYoCRYa6bA,steveKapturowski,YarsRevenge-v0
3386.69 ± 85.77,2016-04-24 22:38:32.136629,https://gym.openai.com/evaluations/eval_LtIMlAFPSDCRl2OL9oej8Q,gdb,YarsRevenge-v0
1927.70 ± 78.80,2017-04-14 20:28:13.844095,https://gym.openai.com/evaluations/eval_eQ6Zte9EQO6XJSBPSkhY8A,nabergh,Asteroids-ram-v0
170.0,2016-05-17 21:18:18.456639,https://gym.openai.com/evaluations/eval_mRAis96GT9ij9XPsGEHf1Q,blole,ReversedAddition-v0
N/A,2016-05-01 19:17:17.571898,https://gym.openai.com/evaluations/eval_NxuOrAsQpmOOYUsQbi7Cw,gdisneyleugers,ReversedAddition-v0
N/A,2016-05-01 19:16:18.799561,https://gym.openai.com/evaluations/eval_EzQL8vYjQzWftAIlRsxWaQ,gdisneyleugers,ReversedAddition-v0
N/A,2016-05-01 07:29:44.040962,https://gym.openai.com/evaluations/eval_D1ZmlDpiTEqMrVK9DbXfxQ,gdisneyleugers,ReversedAddition-v0
N/A,2016-04-26 23:47:28.260396,https://gym.openai.com/evaluations/eval_Vj3iKiXERsiQGTLvCOVKfw,wojzaremba,ReversedAddition-v0
N/A,2016-04-24 22:38:01.346304,https://gym.openai.com/evaluations/eval_XHHTcbvyQbGf6qbNOhaulg,gdb,ReversedAddition-v0
25372.25 ± 276.12,2017-07-28 07:24:57.954569,https://gym.openai.com/evaluations/eval_S8XdrbByQ1eWLUD5jtQYIQ,ppwwyyxx,Qbert-v0
14531.50 ± 213.90,2017-06-19 20:12:56.000512,https://gym.openai.com/evaluations/eval_esTQggLHRg6vz3YA2e06fw,steveKapturowski,Qbert-v0
9426.00 ± 320.08,2017-06-19 19:04:12.445767,https://gym.openai.com/evaluations/eval_bLJWy17TGWSPDMp3ImiQ,steveKapturowski,Qbert-v0
7512.75 ± 651.15,2016-08-17 18:01:44.718359,https://gym.openai.com/evaluations/eval_wekCJkrWQm9NrOUzltXg,ppwwyyxx,Qbert-v0
